"file","filename","revision_index","original_text","suggested_text","match_types","match_tokens","suggestion_count"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\chrono\ping\chrono_ping_bebop_check_items.mp3.json","chrono/ping/chrono_ping_bebop_check_items.mp3","1","Check out what we bought, bot.","Check out what we bought, bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\chrono\ping\chrono_ping_ghost_check_items.mp3.json","chrono/ping/chrono_ping_ghost_check_items.mp3","1","Check out what Gaisbot!","Check out what Gais bought!","bot_suffix_or_compound","Gaisbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\chrono\ping\chrono_ping_gigawatt_check_items.mp3.json","chrono/ping/chrono_ping_gigawatt_check_items.mp3","1","Check out what's sevenbot.","Check out what's seven bought.","bot_suffix_or_compound","sevenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\chrono\ping\chrono_ping_krill_check_items.mp3.json","chrono/ping/chrono_ping_krill_check_items.mp3","1","Check out what Krillbot!","Check out what Krill bought!","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\chrono\ping\chrono_ping_orion_check_items.mp3.json","chrono/ping/chrono_ping_orion_check_items.mp3","1","Chatgo what great talent bot.","Chatgo what great talent bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\chrono\ping\chrono_ping_wraith_check_items.mp3.json","chrono/ping/chrono_ping_wraith_check_items.mp3","1","Check out our Wraithbot.","Check out our Wraith bought.","bot_suffix_or_compound","Wraithbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\dynamo\ping\prof_ping_gigawatt_check_items.mp3.json","dynamo/ping/prof_ping_gigawatt_check_items.mp3","1","Check out my seven bot.","Check out my seven bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\dynamo\ping\prof_ping_wrecker_check_items.mp3.json","dynamo/ping/prof_ping_wrecker_check_items.mp3","2","Check out what record bot!","Check out what record bought!","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\forge\ping\mcginnis_ping_chrono_check_items.mp3.json","forge/ping/mcginnis_ping_chrono_check_items.mp3","1","Check out a Paradox bot.","Check out a Paradox bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\forge\ping\mcginnis_ping_paradox_check_items.mp3.json","forge/ping/mcginnis_ping_paradox_check_items.mp3","1","Check out a Paradox bot.","Check out a Paradox bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\forge\ping\mcginnis_ping_wrecker_check_items.mp3.json","forge/ping/mcginnis_ping_wrecker_check_items.mp3","1","Check out what Rekrbot.","Check out what Rekr bought.","bot_suffix_or_compound","Rekrbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\forge\ping\mcginnis_ping_wrecker_check_items.mp3.json","forge/ping/mcginnis_ping_wrecker_check_items.mp3","2","Check out what RecordBot!","Check out what Record bought!","bot_suffix_or_compound","RecordBot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\frank\ping\frank_ping_gigawatt_check_items.mp3.json","frank/ping/frank_ping_gigawatt_check_items.mp3","1","Check out this seven-bot.","Check out this seven- bought.","bot_suffix_or_compound","seven-bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\ghost\ping\geist_ping_chrono_check_items.mp3.json","ghost/ping/geist_ping_chrono_check_items.mp3","1","Check out with Paradox Bot.","Check out with Paradox Bought.","exact_bot","Bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\ghost\ping\geist_ping_paradox_check_items.mp3.json","ghost/ping/geist_ping_paradox_check_items.mp3","1","Check out with Paradox Bot.","Check out with Paradox Bought.","exact_bot","Bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\gigawatt\ping\gigawatt_ping_dynamo_check_items.mp3.json","gigawatt/ping/gigawatt_ping_dynamo_check_items.mp3","1","Chat out with Dynamo bot.","Chat out with Dynamo bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\gigawatt\ping\gigawatt_ping_need_help_purple.mp3.json","gigawatt/ping/gigawatt_ping_need_help_purple.mp3","4","Killbot level.","Kill bought level.","bot_suffix_or_compound","Killbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\gigawatt\ping\gigawatt_ping_retreat.mp3.json","gigawatt/ping/gigawatt_ping_retreat.mp3","1","Chatbot.","Chat bought.","bot_suffix_or_compound","Chatbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\gigawatt\ping\gigawatt_ping_vampirebat_check_items.mp3.json","gigawatt/ping/gigawatt_ping_vampirebat_check_items.mp3","1","Chatbot mean a bot.","Chat bought mean a bought.","bot_suffix_or_compound;exact_bot","bot;Chatbot","2"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\haze\ping\haze_ping_krill_check_items.mp3.json","haze/ping/haze_ping_krill_check_items.mp3","2","Check out what Krillbot.","Check out what Krill bought.","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\haze\ping\haze_ping_nano_check_items.mp3.json","haze/ping/haze_ping_nano_check_items.mp3","2","Check out what Calico bot's.","Check out what Calico bought's.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\inferno\ping\inferno_ping_bebop_check_items.mp3.json","inferno/ping/inferno_ping_bebop_check_items.mp3","1","Check out with Bebop Bot.","Check out with Bebop Bought.","exact_bot","Bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\inferno\ping\inferno_ping_dynamo_check_items.mp3.json","inferno/ping/inferno_ping_dynamo_check_items.mp3","1","Check out what Dynobot...","Check out what Dyno bought...","bot_suffix_or_compound","Dynobot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\inferno\ping\inferno_ping_lash_check_items.mp3.json","inferno/ping/inferno_ping_lash_check_items.mp3","3","Check out what Lazbot.","Check out what Laz bought.","bot_suffix_or_compound","Lazbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\inferno\ping\inferno_ping_priest_check_items.mp3.json","inferno/ping/inferno_ping_priest_check_items.mp3","1","Take out whatever bot.","Take out whatever bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\inferno\ping\inferno_ping_synth_check_items.mp3.json","inferno/ping/inferno_ping_synth_check_items.mp3","1","Check out Wood Pocketbot.","Check out Wood Pocket bought.","bot_suffix_or_compound","Pocketbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\inferno\ping\inferno_ping_synth_check_items.mp3.json","inferno/ping/inferno_ping_synth_check_items.mp3","2","Check out what PocketBot.","Check out what Pocket bought.","bot_suffix_or_compound","PocketBot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\lash\ping\lash_ping_bebop_check_items.mp3.json","lash/ping/lash_ping_bebop_check_items.mp3","1","Oh, check out my Bebop bot.","Oh, check out my Bebop bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\lash\ping\lash_ping_gigawatt_check_items.mp3.json","lash/ping/lash_ping_gigawatt_check_items.mp3","1","Check out what's happening, bot.","Check out what's happening, bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\lash\ping\lash_ping_hornet_check_items.mp3.json","lash/ping/lash_ping_hornet_check_items.mp3","2","Check out what Vindictabot!","Check out what Vindicta bought!","bot_suffix_or_compound","Vindictabot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\lash\ping\lash_ping_kelvin_check_items.mp3.json","lash/ping/lash_ping_kelvin_check_items.mp3","2","Check out what killed him, bot.","Check out what killed him, bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\lash\ping\lash_ping_shiv_check_items.mp3.json","lash/ping/lash_ping_shiv_check_items.mp3","1","Check out what Handsome Bot...","Check out what Handsome Bought...","exact_bot","Bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\lash\ping\lash_ping_wraith_check_items.mp3.json","lash/ping/lash_ping_wraith_check_items.mp3","2","Check out what Raithbot.","Check out what Raith bought.","bot_suffix_or_compound","Raithbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_gigawatt_check_items.mp3.json","mirage/ping/mirage_ping_gigawatt_check_items.mp3","1","Check out the 7-bot!","Check out the 7- bought!","bot_suffix_or_compound","7-bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_kelvin_check_items.mp3.json","mirage/ping/mirage_ping_kelvin_check_items.mp3","2","Check out old Kelvin bot.","Check out old Kelvin bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_lash_check_items.mp3.json","mirage/ping/mirage_ping_lash_check_items.mp3","2","Check out with Lashbot.","Check out with Lash bought.","bot_suffix_or_compound","Lashbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_magician_check_items.mp3.json","mirage/ping/mirage_ping_magician_check_items.mp3","1","Check out what's in Clairebot.","Check out what's in Claire bought.","bot_suffix_or_compound","Clairebot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_orion_check_items.mp3.json","mirage/ping/mirage_ping_orion_check_items.mp3","1","Čekat udgrečano bot.","Čekat udgrečano bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_shiv_check_items.mp3.json","mirage/ping/mirage_ping_shiv_check_items.mp3","1","Check out the chief bot.","Check out the chief bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\mirage\ping\mirage_ping_wraith_check_items.mp3.json","mirage/ping/mirage_ping_wraith_check_items.mp3","2","Check out this wristbot.","Check out this wrist bought.","bot_suffix_or_compound","wristbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\operative\ping\operative_ping_tengu_check_items.mp3.json","operative/ping/operative_ping_tengu_check_items.mp3","1","Check out Ivybot.","Check out Ivy bought.","bot_suffix_or_compound","Ivybot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\operative\ping\operative_ping_wraith_check_items.mp3.json","operative/ping/operative_ping_wraith_check_items.mp3","1","Check out what Redbot.","Check out what Red bought.","bot_suffix_or_compound","Redbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\orion\ping\orion_ping_gigawatt_check_items.mp3.json","orion/ping/orion_ping_gigawatt_check_items.mp3","2","Check out what 7Bot!","Check out what 7 bought!","bot_suffix_or_compound","7Bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\orion\ping\orion_ping_lash_check_items.mp3.json","orion/ping/orion_ping_lash_check_items.mp3","1","Check out our last bot.","Check out our last bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_dynamo_check_items.mp3.json","pocket/ping/pocket_ping_dynamo_check_items.mp3","1","Check out what Dynobot.","Check out what Dyno bought.","bot_suffix_or_compound","Dynobot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_kelvin_check_items.mp3.json","pocket/ping/pocket_ping_kelvin_check_items.mp3","1","Check out Kelvinbot.","Check out Kelvin bought.","bot_suffix_or_compound","Kelvinbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_krill_check_items.mp3.json","pocket/ping/pocket_ping_krill_check_items.mp3","1","Check out what Krillbot.","Check out what Krill bought.","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_shiv_check_items.mp3.json","pocket/ping/pocket_ping_shiv_check_items.mp3","1","Check out what Shivbot.","Check out what Shiv bought.","bot_suffix_or_compound","Shivbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_wraith_check_items.mp3.json","pocket/ping/pocket_ping_wraith_check_items.mp3","1","Check out what Raybot.","Check out what Ray bought.","bot_suffix_or_compound","Raybot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_wraith_check_items.mp3.json","pocket/ping/pocket_ping_wraith_check_items.mp3","2","Check out what Rakebot.","Check out what Rake bought.","bot_suffix_or_compound","Rakebot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_wrecker_check_items.mp3.json","pocket/ping/pocket_ping_wrecker_check_items.mp3","1","Check out our record bot.","Check out our record bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_wrecker_check_items.mp3.json","pocket/ping/pocket_ping_wrecker_check_items.mp3","2","Check out our Wreckerbot.","Check out our Wrecker bought.","bot_suffix_or_compound","Wreckerbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\pocket\ping\pocket_ping_yamato_check_items.mp3.json","pocket/ping/pocket_ping_yamato_check_items.mp3","1","Check out my Yamato bot.","Check out my Yamato bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\priest\ping\priest_ping_dynamo_check_items.mp3.json","priest/ping/priest_ping_dynamo_check_items.mp3","1","Check out Dial Modebot.","Check out Dial Mode bought.","bot_suffix_or_compound","Modebot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\priest\ping\priest_ping_haze_check_items.mp3.json","priest/ping/priest_ping_haze_check_items.mp3","1","Check out my A-bot!","Check out my A- bought!","bot_suffix_or_compound","A-bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\priest\ping\priest_ping_operative_check_items.mp3.json","priest/ping/priest_ping_operative_check_items.mp3","1","Do you know our Ravenbot?","Do you know our Raven bought?","bot_suffix_or_compound","Ravenbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\priest\ping\priest_ping_warden_check_items.mp3.json","priest/ping/priest_ping_warden_check_items.mp3","1","Check out my Warden bot!","Check out my Warden bought!","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\priest\ping\priest_ping_wrecker_check_items.mp3.json","priest/ping/priest_ping_wrecker_check_items.mp3","1","Check out WreckerBot!","Check out Wrecker bought!","bot_suffix_or_compound","WreckerBot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\slork\ping\slork_ping_chrono_check_items.mp3.json","slork/ping/slork_ping_chrono_check_items.mp3","1","Check out my Paradox bot!","Check out my Paradox bought!","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\slork\ping\slork_ping_dynamo_check_items.mp3.json","slork/ping/slork_ping_dynamo_check_items.mp3","1","Check out my Dynamo bot.","Check out my Dynamo bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\slork\ping\slork_ping_krill_check_items.mp3.json","slork/ping/slork_ping_krill_check_items.mp3","1","Check out what Krillbot.","Check out what Krill bought.","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\slork\ping\slork_ping_wrecker_check_items.mp3.json","slork/ping/slork_ping_wrecker_check_items.mp3","1","Check out what RecordBot.","Check out what Record bought.","bot_suffix_or_compound","RecordBot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_dynamo_check_items.mp3.json","synth/ping/pocket_ping_dynamo_check_items.mp3","1","Check out what Dynobot.","Check out what Dyno bought.","bot_suffix_or_compound","Dynobot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_kelvin_check_items.mp3.json","synth/ping/pocket_ping_kelvin_check_items.mp3","1","Check out Kelvinbot.","Check out Kelvin bought.","bot_suffix_or_compound","Kelvinbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_krill_check_items.mp3.json","synth/ping/pocket_ping_krill_check_items.mp3","1","Check out what Krillbot.","Check out what Krill bought.","bot_suffix_or_compound","Krillbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_shiv_check_items.mp3.json","synth/ping/pocket_ping_shiv_check_items.mp3","1","Check out what Shivbot.","Check out what Shiv bought.","bot_suffix_or_compound","Shivbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_wraith_check_items.mp3.json","synth/ping/pocket_ping_wraith_check_items.mp3","1","Check out what Raybot.","Check out what Ray bought.","bot_suffix_or_compound","Raybot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_wraith_check_items.mp3.json","synth/ping/pocket_ping_wraith_check_items.mp3","2","Check out what Rakebot.","Check out what Rake bought.","bot_suffix_or_compound","Rakebot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_wrecker_check_items.mp3.json","synth/ping/pocket_ping_wrecker_check_items.mp3","1","Check out our record bot.","Check out our record bought.","exact_bot","bot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_wrecker_check_items.mp3.json","synth/ping/pocket_ping_wrecker_check_items.mp3","2","Check out our Wreckerbot.","Check out our Wrecker bought.","bot_suffix_or_compound","Wreckerbot","1"
"C:\Users\Mcall\.codex\worktrees\f6f1\Deadlock-Transcriptions\transcripts\synth\ping\pocket_ping_yamato_check_items.mp3.json","synth/ping/pocket_ping_yamato_check_items.mp3","1","Check out my Yamato bot.","Check out my Yamato bought.","exact_bot","bot","1"
